rank,title,year,imdb_rating,genre,cast_name,storyline,combined_text
1841,Shark,2006–2008,7.1,"Crime, Drama, Mystery","James Woods, Danielle Panabaker, Sophina Brown, Sarah Carter","A young boy, whose life and family has been destroyed by new media, gets adopted by a family in a rural area after being found lost at sea. He tries to conceal his past for everyone's sake ...","Title: Shark Year: 2006–2008 Genre: Crime, Drama, Mystery Cast: James Woods, Danielle Panabaker, Sophina Brown, Sarah Carter. Story: A young boy, whose life and family has been destroyed by new media, gets adopted by a family in a rural area after being found lost at sea. He tries to conceal his past for everyone's sake ..."
1842,The Good Cop,2018,7.0,"Comedy, Crime, Drama","Tony Danza, Josh Groban, Monica Barbaro, Isiah Whitlock Jr.",Charlie is a scammer with a small chain of fortune-telling storefronts and contracts building tricks for a family that controls the business in the greater chunk of LA.,"Title: The Good Cop Year: 2018 Genre: Comedy, Crime, Drama Cast: Tony Danza, Josh Groban, Monica Barbaro, Isiah Whitlock Jr.. Story: Charlie is a scammer with a small chain of fortune-telling storefronts and contracts building tricks for a family that controls the business in the greater chunk of LA."
1843,Pinocchio,2014–2015,8.1,"Drama, Romance","Lee Jong-Suk, Park Shin-Hye, Kim Hae-sook, Byun Hee-Bong","Follow the men and women who keep the citizens of New Orleans safe during the night. Ride along with the police officers, the firefighters, and the paramedics as they tackle the evils of the night.","Title: Pinocchio Year: 2014–2015 Genre: Drama, Romance Cast: Lee Jong-Suk, Park Shin-Hye, Kim Hae-sook, Byun Hee-Bong. Story: Follow the men and women who keep the citizens of New Orleans safe during the night. Ride along with the police officers, the firefighters, and the paramedics as they tackle the evils of the night."
1844,Shut Eye,2016–2017,7.3,"Crime, Drama, Fantasy","Jeffrey Donovan, KaDee Strickland, Angus Sampson, David Zayas","Middle class woman, Bess Denyar, discovers she's adopted. She's shocked to find her birth parents head up a drag racing team in the outer suburbs.","Title: Shut Eye Year: 2016–2017 Genre: Crime, Drama, Fantasy Cast: Jeffrey Donovan, KaDee Strickland, Angus Sampson, David Zayas. Story: Middle class woman, Bess Denyar, discovers she's adopted. She's shocked to find her birth parents head up a drag racing team in the outer suburbs."
1845,Nightwatch,2015– ,8.8,Reality-TV,"Gavin Istre, Dan Flynn, Nick Manning, Titus Tero",TV show based on the action-comedy 'Rush Hour' films about an L.A. cop who teams up with a detective from Hong Kong.,"Title: Nightwatch Year: 2015–  Genre: Reality-TV Cast: Gavin Istre, Dan Flynn, Nick Manning, Titus Tero. Story: TV show based on the action-comedy 'Rush Hour' films about an L.A. cop who teams up with a detective from Hong Kong."
1846,Upper Middle Bogan,2013–2016,8.0,Comedy,"Annie Maynard, Patrick Brammall, Robyn Malcolm, Michala Banas","When Kiyotaka enters an elite government-sponsored high school, he finds out just how merit-based this education system is.","Title: Upper Middle Bogan Year: 2013–2016 Genre: Comedy Cast: Annie Maynard, Patrick Brammall, Robyn Malcolm, Michala Banas. Story: When Kiyotaka enters an elite government-sponsored high school, he finds out just how merit-based this education system is."
1847,Rush Hour,2016,5.7,"Action, Comedy, Crime","Justin Hires, Jonathan Patrick Foo, Aimee Garcia, Page Kennedy",A TV series recorded in the south of Spain which tells us about the murder of a girl called Ainhoa. Inspector Hector must find out who did it.,"Title: Rush Hour Year: 2016 Genre: Action, Comedy, Crime Cast: Justin Hires, Jonathan Patrick Foo, Aimee Garcia, Page Kennedy. Story: A TV series recorded in the south of Spain which tells us about the murder of a girl called Ainhoa. Inspector Hector must find out who did it."
1848,Yôkoso jitsuryoku shijô shugi no kyôshitsu e,2017– ,7.5,"Animation, Comedy, Romance","Felecia Angelle, Justin Briner, Amber Lee Connors, Brandon McInnis",A high school student who cares little about school or others meets a lonely girl who had to repeat a year while all her friends finished high school. He decides to hang out with her and soon meets more friendly students.,"Title: Yôkoso jitsuryoku shijô shugi no kyôshitsu e Year: 2017–  Genre: Animation, Comedy, Romance Cast: Felecia Angelle, Justin Briner, Amber Lee Connors, Brandon McInnis. Story: A high school student who cares little about school or others meets a lonely girl who had to repeat a year while all her friends finished high school. He decides to hang out with her and soon meets more friendly students."
1849,Mar de plástico,2015–2016,7.2,"Action, Adventure, Crime","Rodolfo Sancho, Pedro Casablanc, Luis Fernández, Nya de la Rubia",The adventures of the girls in the saddle club.,"Title: Mar de plástico Year: 2015–2016 Genre: Action, Adventure, Crime Cast: Rodolfo Sancho, Pedro Casablanc, Luis Fernández, Nya de la Rubia. Story: The adventures of the girls in the saddle club."
1850,Clannad,2007–2008,7.9,"Animation, Comedy, Drama","Yûichi Nakamura, David Matranga, Mai Nakahara, Luci Christian",Set in a high class brothel this new series creates a hyper reality whereby we are privy to the private lives and emotions of five beautiful young women.,"Title: Clannad Year: 2007–2008 Genre: Animation, Comedy, Drama Cast: Yûichi Nakamura, David Matranga, Mai Nakahara, Luci Christian. Story: Set in a high class brothel this new series creates a hyper reality whereby we are privy to the private lives and emotions of five beautiful young women."
1851,The Saddle Club,2001–2009,6.0,"Adventure, Family","Kia Luby, Sophie Bennett, Keenan Macwilliam, Lara Jean Marshall",For people who love everything about porn...except the sex.,"Title: The Saddle Club Year: 2001–2009 Genre: Adventure, Family Cast: Kia Luby, Sophie Bennett, Keenan Macwilliam, Lara Jean Marshall. Story: For people who love everything about porn...except the sex."
1852,Satisfaction,2007– ,7.3,Drama,"Kestie Morassi, Madeleine West, Alison Whyte, Diana Glenn","Join British superstar Gordon Ramsay, Italian stallion Gino D'Acampo and French master maitre d' Fred Sirieix as they take a road trip.","Title: Satisfaction Year: 2007–  Genre: Drama Cast: Kestie Morassi, Madeleine West, Alison Whyte, Diana Glenn. Story: Join British superstar Gordon Ramsay, Italian stallion Gino D'Acampo and French master maitre d' Fred Sirieix as they take a road trip."
1853,PG Porn,2008–2009,7.6,"Short, Comedy","Belladonna, Sean Gunn, James Gunn, Steven Hogan","Ferit Aslan (Can Yaman) is a very successful businessman, and is extremely organized. He wants the same manner of organization in both his private and professional life. Nazli (Ozge Gurel) ...","Title: PG Porn Year: 2008–2009 Genre: Short, Comedy Cast: Belladonna, Sean Gunn, James Gunn, Steven Hogan. Story: Ferit Aslan (Can Yaman) is a very successful businessman, and is extremely organized. He wants the same manner of organization in both his private and professional life. Nazli (Ozge Gurel) ..."
1854,"Gordon, Gino & Fred's Road Trip",2018– ,8.5,"Adventure, Comedy, Reality-TV","Gordon Ramsay, ""Gino DAcampo"", Fred Sirieix, Luke Campbell",Fifteen-year-old Tara Webster's dream of dancing comes true when she gets into a top dance academy. She soon realizes dancing is only half the battle.,"Title: Gordon, Gino & Fred's Road Trip Year: 2018–  Genre: Adventure, Comedy, Reality-TV Cast: Gordon Ramsay, ""Gino DAcampo"", Fred Sirieix, Luke Campbell. Story: Fifteen-year-old Tara Webster's dream of dancing comes true when she gets into a top dance academy. She soon realizes dancing is only half the battle."
1855,Dolunay,2017,6.7,"Comedy, Romance","Özge Gürel, Can Yaman, Hakan Kurtas, Necip Memili","A renowned (and ruthless) pageant coach, desperately sought after by young women competing to be Miss America because she can turn any girl into a winner, is challenged to train a beautiful, yet unpolished and untested, contestant.","Title: Dolunay Year: 2017 Genre: Comedy, Romance Cast: Özge Gürel, Can Yaman, Hakan Kurtas, Necip Memili. Story: A renowned (and ruthless) pageant coach, desperately sought after by young women competing to be Miss America because she can turn any girl into a winner, is challenged to train a beautiful, yet unpolished and untested, contestant."
1856,Dance Academy,2010–2013,8.1,"Drama, Family, Music","Xenia Goodwin, Alicia Banit, Dena Kaplan, Jordan Rodrigues",A teenage slacker is given the ability to turn into the American Dragon and defends all mythical creatures that secretly reside in the human world.,"Title: Dance Academy Year: 2010–2013 Genre: Drama, Family, Music Cast: Xenia Goodwin, Alicia Banit, Dena Kaplan, Jordan Rodrigues. Story: A teenage slacker is given the ability to turn into the American Dragon and defends all mythical creatures that secretly reside in the human world."
