rank,title,year,imdb_rating,genre,cast_name,storyline,combined_text
2659,Jinsimi Dadda,2019,7.7,Romance,"Lee Dong-Wook, Sang-woo Lee, Sung Yoon Son, Oh Jeong-Se",The escapades of a super-powered robot who happens to resemble a teenage girl that tries to balance high school and teen problems while trying to save the world from danger.,"Title: Jinsimi Dadda Year: 2019 Genre: Romance Cast: Lee Dong-Wook, Sang-woo Lee, Sung Yoon Son, Oh Jeong-Se. Story: The escapades of a super-powered robot who happens to resemble a teenage girl that tries to balance high school and teen problems while trying to save the world from danger."
2660,Kyoukai no kanata,2013– ,7.3,"Animation, Action, Comedy","Kenichiro Ohashi, Risa Taneda, Minori Chihara, Clint Bickham","The lives and loves of four female friends: Katie, a doctor having an affair with a patient; Trudi, a 9/11 widow; Siobhan, a barrister; and Jessica, a commitment phobe who plays the field.","Title: Kyoukai no kanata Year: 2013–  Genre: Animation, Action, Comedy Cast: Kenichiro Ohashi, Risa Taneda, Minori Chihara, Clint Bickham. Story: The lives and loves of four female friends: Katie, a doctor having an affair with a patient; Trudi, a 9/11 widow; Siobhan, a barrister; and Jessica, a commitment phobe who plays the field."
2661,My Life as a Teenage Robot,2003–2009,6.9,"Animation, Action, Adventure","Janice Kawaye, Chad Doreck, Candi Milo, Audrey Wasilewski","Centers on Maddie, a party girl and a highly functioning addict who makes the difficult decision to live with other recovering addicts at a rehab facility, while facing the daily pressures of her teenage life.","Title: My Life as a Teenage Robot Year: 2003–2009 Genre: Animation, Action, Adventure Cast: Janice Kawaye, Chad Doreck, Candi Milo, Audrey Wasilewski. Story: Centers on Maddie, a party girl and a highly functioning addict who makes the difficult decision to live with other recovering addicts at a rehab facility, while facing the daily pressures of her teenage life."
2662,Mistresses,2008–2010,7.6,Drama,"Sarah Parish, Sharon Small, Orla Brady, Shelley Conn","Peter Rabbit and his two best friends, Benjamin and Lily, have a knack for finding adventure, and often trouble, in the most unexpected places.","Title: Mistresses Year: 2008–2010 Genre: Drama Cast: Sarah Parish, Sharon Small, Orla Brady, Shelley Conn. Story: Peter Rabbit and his two best friends, Benjamin and Lily, have a knack for finding adventure, and often trouble, in the most unexpected places."
2663,Recovery Road,2016,7.5,Drama,"Jessica Sula, Sebastian De Souza, Alexis Carra, Daniel Franzese",The show follows the Jonas Brothers through fun and unusual situations as they try to live ordinary lives.,"Title: Recovery Road Year: 2016 Genre: Drama Cast: Jessica Sula, Sebastian De Souza, Alexis Carra, Daniel Franzese. Story: The show follows the Jonas Brothers through fun and unusual situations as they try to live ordinary lives."
2664,Peter Rabbit,2012–2016,5.6,"Animation, Family","Peter Harris, Michaela Dean, Mark Huckerby, JB Blanc",Seven rival high schools battle each other for victory and total supremacy. The students will do what ever it takes to come out on top and see their school leading the way.,"Title: Peter Rabbit Year: 2012–2016 Genre: Animation, Family Cast: Peter Harris, Michaela Dean, Mark Huckerby, JB Blanc. Story: Seven rival high schools battle each other for victory and total supremacy. The students will do what ever it takes to come out on top and see their school leading the way."
2665,Jonas,2009–2010,4.7,"Comedy, Family, Music","Kevin Jonas, Chelsea Kane, Nicole Gale Anderson, Joe Jonas","Legend says when the darkness arises, five brave teen sorcerers will be called to fight for the planet's survival - with the guidance from their wise mentor and the ancient Xenotome, book ...","Title: Jonas Year: 2009–2010 Genre: Comedy, Family, Music Cast: Kevin Jonas, Chelsea Kane, Nicole Gale Anderson, Joe Jonas. Story: Legend says when the darkness arises, five brave teen sorcerers will be called to fight for the planet's survival - with the guidance from their wise mentor and the ancient Xenotome, book ..."
2666,Ikki tôsen,2003– ,6.0,"Animation, Action, Adventure","Yûko Kaida, Masumi Asano, Satoshi Hino, Kikuko Inoue","A look at the lives of Nico, Wendy, and Victory -- three of ""New York's 50 Most Powerful Women,"" according to The New York Post.","Title: Ikki tôsen Year: 2003–  Genre: Animation, Action, Adventure Cast: Yûko Kaida, Masumi Asano, Satoshi Hino, Kikuko Inoue. Story: A look at the lives of Nico, Wendy, and Victory -- three of ""New York's 50 Most Powerful Women,"" according to The New York Post."
2667,Power Rangers Mystic Force,2006,6.7,"Action, Adventure, Fantasy","Firass Dirani, Angie Diaz, Richard Brancatisano, Melanie Vallejo","While telling her husband he's dying, Jill sets her sights on the next door neighbour, Don. And torments his wife, who suffers from MS.","Title: Power Rangers Mystic Force Year: 2006 Genre: Action, Adventure, Fantasy Cast: Firass Dirani, Angie Diaz, Richard Brancatisano, Melanie Vallejo. Story: While telling her husband he's dying, Jill sets her sights on the next door neighbour, Don. And torments his wife, who suffers from MS."
2668,Lipstick Jungle,2008–2009,6.5,"Comedy, Drama","Brooke Shields, Kim Raver, Lindsay Price, Paul Blackthorne","Through a series of challenges, women compete for a chance to live with rock star Bret Michaels, who rose to fame in the '80s by fronting the band Poison.","Title: Lipstick Jungle Year: 2008–2009 Genre: Comedy, Drama Cast: Brooke Shields, Kim Raver, Lindsay Price, Paul Blackthorne. Story: Through a series of challenges, women compete for a chance to live with rock star Bret Michaels, who rose to fame in the '80s by fronting the band Poison."
2669,Nighty Night,2004–2005,8.1,"Comedy, Crime, Thriller","Julia Davis, Angus Deayton, Rebecca Front, Ruth Jones","Alex, who is in his mid-30s with a wife and two kids, makes the crazy decision to quit his good job and dive into the brave new world of starting a business.","Title: Nighty Night Year: 2004–2005 Genre: Comedy, Crime, Thriller Cast: Julia Davis, Angus Deayton, Rebecca Front, Ruth Jones. Story: Alex, who is in his mid-30s with a wife and two kids, makes the crazy decision to quit his good job and dive into the brave new world of starting a business."
2670,Rock of Love with Bret Michaels,2007– ,4.8,"Game-Show, Music, Reality-TV","Bret Michaels, Big John Murray, Heather Chadwell, Lacey Sculls",A lawyer in her thirties coming out of a long relationship decides to regain her figure and health after meeting a renowned personal trainer who obsesses with leading a healthy lifestyle after suffering a serious injury in his childhood.,"Title: Rock of Love with Bret Michaels Year: 2007–  Genre: Game-Show, Music, Reality-TV Cast: Bret Michaels, Big John Murray, Heather Chadwell, Lacey Sculls. Story: A lawyer in her thirties coming out of a long relationship decides to regain her figure and health after meeting a renowned personal trainer who obsesses with leading a healthy lifestyle after suffering a serious injury in his childhood."
2671,"Alex, Inc.",2018,5.7,Comedy,"Zach Braff, Tiya Sircar, Hillary Anne Matthews, Elisha Henig","The class of the gifted at Ritdha High School is not what it seems, and as its students discover the amazing potential within them, a conspiracy starts to unravel.","Title: Alex, Inc. Year: 2018 Genre: Comedy Cast: Zach Braff, Tiya Sircar, Hillary Anne Matthews, Elisha Henig. Story: The class of the gifted at Ritdha High School is not what it seems, and as its students discover the amazing potential within them, a conspiracy starts to unravel."
2672,O Ma-i Bi-neo-seu,2015–2016,7.8,"Comedy, Drama, Romance","So Ji-seob, Shin Min-a, Sung Hoon, Yoo In-young",Blark and Son follows the adventures of Blark as he struggles to bond with his son who he loves more than anything else in the world.,"Title: O Ma-i Bi-neo-seu Year: 2015–2016 Genre: Comedy, Drama, Romance Cast: So Ji-seob, Shin Min-a, Sung Hoon, Yoo In-young. Story: Blark and Son follows the adventures of Blark as he struggles to bond with his son who he loves more than anything else in the world."
2673,The Gifted,2018,8.3,"Drama, Fantasy, Mystery","Korapat Kirdpan, Wachirawit Ruangwiwat, Apichaya Thongkham, Ramida Jiranorraphat",Amateur mage Shirou Emiya gets involved in a fight between mages using mythological heroes.,"Title: The Gifted Year: 2018 Genre: Drama, Fantasy, Mystery Cast: Korapat Kirdpan, Wachirawit Ruangwiwat, Apichaya Thongkham, Ramida Jiranorraphat. Story: Amateur mage Shirou Emiya gets involved in a fight between mages using mythological heroes."
2674,Blark and Son,2018–2021,7.6,Comedy,"Ben Bayouth, Christopher Mintz-Plasse, Deborah Baker Jr., Jim Rash",Filthy Frank and his disease ridden friends talk about various topics and take part in multiple life-threatening shenanigans.,"Title: Blark and Son Year: 2018–2021 Genre: Comedy Cast: Ben Bayouth, Christopher Mintz-Plasse, Deborah Baker Jr., Jim Rash. Story: Filthy Frank and his disease ridden friends talk about various topics and take part in multiple life-threatening shenanigans."
2675,Fate/stay night,2006,7.3,"Animation, Action, Adventure","Noriaki Sugiyama, Kate Higgins, Candice Moore, ""Liam OBrien""",A pair of recent community college graduates look to become entrepreneurs in Chicago's South Side.,"Title: Fate/stay night Year: 2006 Genre: Animation, Action, Adventure Cast: Noriaki Sugiyama, Kate Higgins, Candice Moore, ""Liam OBrien"". Story: A pair of recent community college graduates look to become entrepreneurs in Chicago's South Side."
2676,The Filthy Frank Show,2011–2017,9.4,"Comedy, Fantasy, Music","Joji, Artemis Holdenberry, Zeeq, Bloody Hairy","In near future Paris, a dating app matches singles with their soulmates by mining their brain data, but decoding true love comes at a price.","Title: The Filthy Frank Show Year: 2011–2017 Genre: Comedy, Fantasy, Music Cast: Joji, Artemis Holdenberry, Zeeq, Bloody Hairy. Story: In near future Paris, a dating app matches singles with their soulmates by mining their brain data, but decoding true love comes at a price."
2677,South Side,2019– ,7.8,Comedy,"Sultan Salahuddin, Kareme Young, Quincy Young, Chandra Russell","The story of eight young adults who come to spend the summer in the hottest beach town on the Gulf Coast, Panama City Beach, to party it up and put the real world on hold for just a little bit longer.","Title: South Side Year: 2019–  Genre: Comedy Cast: Sultan Salahuddin, Kareme Young, Quincy Young, Chandra Russell. Story: The story of eight young adults who come to spend the summer in the hottest beach town on the Gulf Coast, Panama City Beach, to party it up and put the real world on hold for just a little bit longer."
2678,Osmosis,2019,5.9,"Romance, Sci-Fi","Agathe Bonitzer, Hugo Becker, Gaël Kamilindi, Manoel Dupont",A weekday gabfest offering a female perspective on the day's headlines.,"Title: Osmosis Year: 2019 Genre: Romance, Sci-Fi Cast: Agathe Bonitzer, Hugo Becker, Gaël Kamilindi, Manoel Dupont. Story: A weekday gabfest offering a female perspective on the day's headlines."
2679,MTV Floribama Shore,2017– ,5.0,Reality-TV,"Jeremiah Buoni, Codi Butts, Kortni Gilson, Aimee Hall",Funny man John Michael Higgins is the host of this fill-in-the-blank guessing game on The Game Show Network.,"Title: MTV Floribama Shore Year: 2017–  Genre: Reality-TV Cast: Jeremiah Buoni, Codi Butts, Kortni Gilson, Aimee Hall. Story: Funny man John Michael Higgins is the host of this fill-in-the-blank guessing game on The Game Show Network."
2680,The Talk,2010– ,3.3,Talk-Show,"Sharon Osbourne, Julie Chen Moonves, Sheryl Underwood, Sara Gilbert","Jack Driscoll moves back to the town on the west coast of Ireland where he was born. He takes over his retired father's Garda post, and solves different cases.","Title: The Talk Year: 2010–  Genre: Talk-Show Cast: Sharon Osbourne, Julie Chen Moonves, Sheryl Underwood, Sara Gilbert. Story: Jack Driscoll moves back to the town on the west coast of Ireland where he was born. He takes over his retired father's Garda post, and solves different cases."
2681,America Says,2018– ,7.5,Game-Show,"John Michael Higgins, Russell Rope, Tyanta Snow, Sashani Nichole","A nine episode one-hour series that follows a group of real-life Los Angeles lesbians as they go about their daily lives, at work and play.","Title: America Says Year: 2018–  Genre: Game-Show Cast: John Michael Higgins, Russell Rope, Tyanta Snow, Sashani Nichole. Story: A nine episode one-hour series that follows a group of real-life Los Angeles lesbians as they go about their daily lives, at work and play."
2682,Single-Handed,2007–2010,7.5,"Drama, Thriller","Owen McDonnell, David Herlihy, Ruth McCabe, Brian Gleeson","Paranormal investigations into haunted locations, using psychic mediums and scientific equipment.","Title: Single-Handed Year: 2007–2010 Genre: Drama, Thriller Cast: Owen McDonnell, David Herlihy, Ruth McCabe, Brian Gleeson. Story: Paranormal investigations into haunted locations, using psychic mediums and scientific equipment."
2683,"Play It Again, Dick",2014,7.1,Comedy,"Ryan Hansen, Kyle Gallner, Viet Nguyen, Amanda Noret","Based on Kristina Ohlsson's novels, the series follows unconventional but cunning criminologist Fredrika Bergman who joins a special investigations unit in Stockholm.","Title: Play It Again, Dick Year: 2014 Genre: Comedy Cast: Ryan Hansen, Kyle Gallner, Viet Nguyen, Amanda Noret. Story: Based on Kristina Ohlsson's novels, the series follows unconventional but cunning criminologist Fredrika Bergman who joins a special investigations unit in Stockholm."
2684,The Real L Word,2010–2012,6.0,Reality-TV,"Whitney Mixter, Kelsey Grace Chavarria, Alyssa Morgan, Kacy Boccumini","Cassie is a shy college girl who wants to be accepted by others, but is only truly loved by her best friend Thelma. Cassie later discovers that she possesses dangerous powers, and is being ...","Title: The Real L Word Year: 2010–2012 Genre: Reality-TV Cast: Whitney Mixter, Kelsey Grace Chavarria, Alyssa Morgan, Kacy Boccumini. Story: Cassie is a shy college girl who wants to be accepted by others, but is only truly loved by her best friend Thelma. Cassie later discovers that she possesses dangerous powers, and is being ..."
2685,Most Haunted,2002– ,5.0,"Horror, Reality-TV","Yvette Fielding, Karl Beattie, ""Ciarán OKeeffe"", Stuart Torevell","After the outbreak of the unidentified virus ""Lost Christmas"" in 2029, Japan has been under the control of a multi-nation organization called GHQ. Ohma Shu is a 17 year old boy who has a ...","Title: Most Haunted Year: 2002–  Genre: Horror, Reality-TV Cast: Yvette Fielding, Karl Beattie, ""Ciarán OKeeffe"", Stuart Torevell. Story: After the outbreak of the unidentified virus ""Lost Christmas"" in 2029, Japan has been under the control of a multi-nation organization called GHQ. Ohma Shu is a 17 year old boy who has a ..."
2686,Sthlm Rekviem,2018– ,6.6,"Crime, Drama, Mystery","Liv Mjönes, Jonas Karlsson, Alexej Manvelov, Magnus Roosmann","Budding entrepreneurs, inventors and small businessmen (and women) pitch their ideas to the five ""dragons"" - real-life business leaders and millionaires, with real cash to invest in the ...","Title: Sthlm Rekviem Year: 2018–  Genre: Crime, Drama, Mystery Cast: Liv Mjönes, Jonas Karlsson, Alexej Manvelov, Magnus Roosmann. Story: Budding entrepreneurs, inventors and small businessmen (and women) pitch their ideas to the five ""dragons"" - real-life business leaders and millionaires, with real cash to invest in the ..."
2687,Hex,2004–2005,7.0,"Comedy, Drama, Fantasy","Jemima Rooper, Jamie Davis, Amber Sainsbury, Colin Salmon","The adventures of average suburban boy Johnny Test, who wittingly plays test subject for his genius twin sisters' various experiments, reluctantly fighting evil villains in the process.","Title: Hex Year: 2004–2005 Genre: Comedy, Drama, Fantasy Cast: Jemima Rooper, Jamie Davis, Amber Sainsbury, Colin Salmon. Story: The adventures of average suburban boy Johnny Test, who wittingly plays test subject for his genius twin sisters' various experiments, reluctantly fighting evil villains in the process."
2688,Giruti kuraun: Guilty Crown,2011–2012,7.1,"Animation, Action, Romance","Yûki Kaji, Ai Kayano, Kana Hanazawa, Kate Bristol","With big dreams of financing their own film project, three struggling young men join forces in a guesthouse venture that is anything but profitable.","Title: Giruti kuraun: Guilty Crown Year: 2011–2012 Genre: Animation, Action, Romance Cast: Yûki Kaji, Ai Kayano, Kana Hanazawa, Kate Bristol. Story: With big dreams of financing their own film project, three struggling young men join forces in a guesthouse venture that is anything but profitable."
2689,Dragons' Den,II 2005– ,6.8,Reality-TV,"Evan Davis, Peter Jones, Deborah Meaden, Duncan Bannatyne",Animated misadventures of a hard-partying lemur and his wild friends in Madagascar.,"Title: Dragons' Den Year: II 2005–  Genre: Reality-TV Cast: Evan Davis, Peter Jones, Deborah Meaden, Duncan Bannatyne. Story: Animated misadventures of a hard-partying lemur and his wild friends in Madagascar."
2690,Johnny Test,2005–2014,5.1,"Animation, Action, Adventure","James Arnold Taylor, Maryke Hendrikse, Lee Tockar, Ashleigh Ball","Two hotshot undercover cops and their equally tough female handler take down the highest and lowest criminals in L.A. in this pop-culture-heavy, dark, flashy, over-the-top action crime dramedy inspired by Bad Boys and Miami Vice.","Title: Johnny Test Year: 2005–2014 Genre: Animation, Action, Adventure Cast: James Arnold Taylor, Maryke Hendrikse, Lee Tockar, Ashleigh Ball. Story: Two hotshot undercover cops and their equally tough female handler take down the highest and lowest criminals in L.A. in this pop-culture-heavy, dark, flashy, over-the-top action crime dramedy inspired by Bad Boys and Miami Vice."
2691,Eulachacha Waikiki,2018–2019,8.3,"Comedy, Drama","Yi-Kyeong Lee, Kim Jung-hyun, In-sun Jung, Son Seung-Won",The survivor of a famous child-abduction case joins a special task force dedicated to solving abductions and missing person cases.,"Title: Eulachacha Waikiki Year: 2018–2019 Genre: Comedy, Drama Cast: Yi-Kyeong Lee, Kim Jung-hyun, In-sun Jung, Son Seung-Won. Story: The survivor of a famous child-abduction case joins a special task force dedicated to solving abductions and missing person cases."
2692,All Hail King Julien,2014–2017,7.2,"Animation, Adventure, Comedy","Danny Jacobs, Andy Richter, Kevin Michael Richardson, India de Beaufort",2-minute shorts about Gravity Falls.,"Title: All Hail King Julien Year: 2014–2017 Genre: Animation, Adventure, Comedy Cast: Danny Jacobs, Andy Richter, Kevin Michael Richardson, India de Beaufort. Story: 2-minute shorts about Gravity Falls."
2693,Fastlane,2002–2003,7.5,"Action, Comedy, Crime","Peter Facinelli, Bill Bellamy, Tiffani Thiessen, Big Boy","IN PLAIN SIGHT is a riveting whodunit, featuring some of the most disturbing murder cases with the killer hiding in plain sight. The killer can sometimes be featured on TV news reports, ...","Title: Fastlane Year: 2002–2003 Genre: Action, Comedy, Crime Cast: Peter Facinelli, Bill Bellamy, Tiffani Thiessen, Big Boy. Story: IN PLAIN SIGHT is a riveting whodunit, featuring some of the most disturbing murder cases with the killer hiding in plain sight. The killer can sometimes be featured on TV news reports, ..."
2694,Gone,I 2017– ,7.2,"Crime, Drama","Leven Rambin, Chris Noth, Danny Pino, Andy Mientus","Officer Carter Shaw and his team go undercover - sometimes too deep, among the criminals of modern-day Los Angeles.","Title: Gone Year: I 2017–  Genre: Crime, Drama Cast: Leven Rambin, Chris Noth, Danny Pino, Andy Mientus. Story: Officer Carter Shaw and his team go undercover - sometimes too deep, among the criminals of modern-day Los Angeles."
2695,Gravity Falls Shorts,2013–2014,8.4,"Animation, Short, Adventure","Alex Hirsch, Kristen Schaal, Jason Ritter, Linda Cardellini","A psychic, a Catholic priest, and a detective team up to fight crimes caused by supernatural forces.","Title: Gravity Falls Shorts Year: 2013–2014 Genre: Animation, Short, Adventure Cast: Alex Hirsch, Kristen Schaal, Jason Ritter, Linda Cardellini. Story: A psychic, a Catholic priest, and a detective team up to fight crimes caused by supernatural forces."
2696,In Plain Sight,2018– ,7.7,Crime,"Michael Fleeman, Dustin Kuschnereit, Tyanne McNicoll, William Whyte","Teresa is a young woman dominated by her greed. Her parents have made great sacrifices to give her a good, decent life, but Teresa wants more, a lot more.","Title: In Plain Sight Year: 2018–  Genre: Crime Cast: Michael Fleeman, Dustin Kuschnereit, Tyanne McNicoll, William Whyte. Story: Teresa is a young woman dominated by her greed. Her parents have made great sacrifices to give her a good, decent life, but Teresa wants more, a lot more."
2697,Dark Blue,2009–2010,7.5,"Action, Crime, Drama","Dylan McDermott, Omari Hardwick, Logan Marshall-Green, Nicki Aycox","This fantasy action-adventure series follows four teenage boys who get lost in the forest and discover, when they return home, that they are in an alternate world identical to theirs except...","Title: Dark Blue Year: 2009–2010 Genre: Action, Crime, Drama Cast: Dylan McDermott, Omari Hardwick, Logan Marshall-Green, Nicki Aycox. Story: This fantasy action-adventure series follows four teenage boys who get lost in the forest and discover, when they return home, that they are in an alternate world identical to theirs except..."
2698,Son: The Guest,2018– ,8.1,"Drama, Horror, Mystery","Dong-wook Kim, Kim Jae-Wook, Jung Eun-chae, Park Ho-San","The Black Dynamite animated series further chronicles the exploits of the central character, Black Dynamite and his crew. Action comedy-spoof that follows ex-C.I.A. Agent and full-time ...","Title: Son: The Guest Year: 2018–  Genre: Drama, Horror, Mystery Cast: Dong-wook Kim, Kim Jae-Wook, Jung Eun-chae, Park Ho-San. Story: The Black Dynamite animated series further chronicles the exploits of the central character, Black Dynamite and his crew. Action comedy-spoof that follows ex-C.I.A. Agent and full-time ..."
2699,Teresa,2010–2011,7.8,"Drama, Romance","Sebastián Rulli, Aarón Díaz, Angelique Boyer, Cynthia Klitbo",A television series broken down into thirteen separate sixty-minute films from premiere horror writers and directors.,"Title: Teresa Year: 2010–2011 Genre: Drama, Romance Cast: Sebastián Rulli, Aarón Díaz, Angelique Boyer, Cynthia Klitbo. Story: A television series broken down into thirteen separate sixty-minute films from premiere horror writers and directors."
2700,Nowhere Boys,2013–2018,7.2,"Adventure, Drama, Horror","Darci McDonald, Nicholas Coghlan, Matt Testro, Dougie Baldwin",Four young Irish brothers are caught up in New York's underworld of organized crime.,"Title: Nowhere Boys Year: 2013–2018 Genre: Adventure, Drama, Horror Cast: Darci McDonald, Nicholas Coghlan, Matt Testro, Dougie Baldwin. Story: Four young Irish brothers are caught up in New York's underworld of organized crime."
2701,Black Dynamite,2011–2015,8.1,"Animation, Action, Adventure","Michael Jai White, Byron Minns, Kym Whitley, Tommy Davidson","Euphoria portrays a sexy, troubling, and bold profile of the teens of the nineties, within a raging drama going on behind teenagers' closed doors.","Title: Black Dynamite Year: 2011–2015 Genre: Animation, Action, Adventure Cast: Michael Jai White, Byron Minns, Kym Whitley, Tommy Davidson. Story: Euphoria portrays a sexy, troubling, and bold profile of the teens of the nineties, within a raging drama going on behind teenagers' closed doors."
2702,Fear Itself,2008–2009,7.0,Horror,"Margherita Donato, Valerie White, Clifton Collins Jr., Briana Evigan",Budding Portland restaurateur Nate's world is turned upside down when he finds out his best friend/roommate is now dating his recently separated mother.,"Title: Fear Itself Year: 2008–2009 Genre: Horror Cast: Margherita Donato, Valerie White, Clifton Collins Jr., Briana Evigan. Story: Budding Portland restaurateur Nate's world is turned upside down when he finds out his best friend/roommate is now dating his recently separated mother."
2703,The Black Donnellys,2007,8.1,"Crime, Drama","Jonathan Tucker, Tom Guiry, Olivia Wilde, Billy Lush","A gritty fact based drama series that tells the astonishing story of a drug dealer who was arrested then given a desperate ultimatum: serve over 20 years in jail, or go undercover inside ...","Title: The Black Donnellys Year: 2007 Genre: Crime, Drama Cast: Jonathan Tucker, Tom Guiry, Olivia Wilde, Billy Lush. Story: A gritty fact based drama series that tells the astonishing story of a drug dealer who was arrested then given a desperate ultimatum: serve over 20 years in jail, or go undercover inside ..."
2704,Euphoria,2012–2013,6.4,Drama,"Roni Dalumi, Dekel Adin, Amit Erez, Avi Mazliah",This surreal dramedy follows Satou Tatsuhiro as he attempts to escape the evil machinations of the NHK.,"Title: Euphoria Year: 2012–2013 Genre: Drama Cast: Roni Dalumi, Dekel Adin, Amit Erez, Avi Mazliah. Story: This surreal dramedy follows Satou Tatsuhiro as he attempts to escape the evil machinations of the NHK."
2705,Significant Mother,2015,6.1,Comedy,"Josh Zuckerman, Nathaniel Buzolic, Krista Allen, Emma Fitzpatrick","The party keeps on going for Poppy, Branch and the others from DreamWorks Animation's hit","Title: Significant Mother Year: 2015 Genre: Comedy Cast: Josh Zuckerman, Nathaniel Buzolic, Krista Allen, Emma Fitzpatrick. Story: The party keeps on going for Poppy, Branch and the others from DreamWorks Animation's hit"
2706,Gangland Undercover,2015–2016,8.2,"Biography, Crime, Drama","Damon Runyan, Ian Matthews, Ari Cohen, Stephen Eric McIntyre","300 years after the Calamity War, a ragtag group of freedom fighters and an ancient Mobile Suit rise to the call for justice, once and for all.","Title: Gangland Undercover Year: 2015–2016 Genre: Biography, Crime, Drama Cast: Damon Runyan, Ian Matthews, Ari Cohen, Stephen Eric McIntyre. Story: 300 years after the Calamity War, a ragtag group of freedom fighters and an ancient Mobile Suit rise to the call for justice, once and for all."
2707,N.H.K ni yôkoso!,2006,8.3,"Animation, Comedy, Drama","Yutaka Koizumi, Yui Makino, Michael C. Pizzuto, Greg Ayres","A young registrar, Rob Lake starts work under established gynecologist Roger Hurley whom he finds to be an affable man. All is not as it first appears, however, and Lake soon develops grave misgivings about his boss and his methods.","Title: N.H.K ni yôkoso! Year: 2006 Genre: Animation, Comedy, Drama Cast: Yutaka Koizumi, Yui Makino, Michael C. Pizzuto, Greg Ayres. Story: A young registrar, Rob Lake starts work under established gynecologist Roger Hurley whom he finds to be an affable man. All is not as it first appears, however, and Lake soon develops grave misgivings about his boss and his methods."
2708,Trolls: The Beat Goes On!,2018–2019,5.9,"Animation, Short, Adventure","Amanda Leighton, Sean T. Krishnan, Kevin Michael Richardson, Skylar Astin",Adventures of an anti-terrorism special forces team.,"Title: Trolls: The Beat Goes On! Year: 2018–2019 Genre: Animation, Short, Adventure Cast: Amanda Leighton, Sean T. Krishnan, Kevin Michael Richardson, Skylar Astin. Story: Adventures of an anti-terrorism special forces team."
2709,Kidou Senshi Gundam: Tekketsu no Orphans,2015– ,7.9,"Animation, Action, Drama","Bill Rogers, Adin Rudd, Jennifer Alyx, Sean Finkle","A girl arrives at an old mystical house to live there. Inside the house she quickly discovers that the habitants, 6 brothers, that are vampires and that she is meant to be their bridal slave.","Title: Kidou Senshi Gundam: Tekketsu no Orphans Year: 2015–  Genre: Animation, Action, Drama Cast: Bill Rogers, Adin Rudd, Jennifer Alyx, Sean Finkle. Story: A girl arrives at an old mystical house to live there. Inside the house she quickly discovers that the habitants, 6 brothers, that are vampires and that she is meant to be their bridal slave."
2710,Bodies,2004–2006,8.5,Drama,"Tamzin Malleson, Max Beesley, Keith Allen, Patrick Baladi","After having success in Asia, businessman Aksel Borgen is asked back to his hometown in Norway to save an important local firm despite it being 20 years since he was sentenced and later acquitted for murdering his high school sweetheart.","Title: Bodies Year: 2004–2006 Genre: Drama Cast: Tamzin Malleson, Max Beesley, Keith Allen, Patrick Baladi. Story: After having success in Asia, businessman Aksel Borgen is asked back to his hometown in Norway to save an important local firm despite it being 20 years since he was sentenced and later acquitted for murdering his high school sweetheart."
2711,Shadow hunters,2017– ,6.9,"Action, Crime, Drama","Sheng Ming He, Samuel D.T. Mackey, Vander McLeod, Ban Wang",British and Swedish police join forces to solve a case.,"Title: Shadow hunters Year: 2017–  Genre: Action, Crime, Drama Cast: Sheng Ming He, Samuel D.T. Mackey, Vander McLeod, Ban Wang. Story: British and Swedish police join forces to solve a case."
2712,Diabolik Lovers,2013– ,5.2,"Animation, Drama, Horror","Bryson Baugus, Luci Christian, Shannon Emerick, Maggie Flecknoe",The series tells the story of Emir and Nil's entertaining relationship by explaining the relationship between men and women in a humorous as well as realistic language. We see the ...,"Title: Diabolik Lovers Year: 2013–  Genre: Animation, Drama, Horror Cast: Bryson Baugus, Luci Christian, Shannon Emerick, Maggie Flecknoe. Story: The series tells the story of Emir and Nil's entertaining relationship by explaining the relationship between men and women in a humorous as well as realistic language. We see the ..."
2713,Frikjent,2015– ,7.5,"Crime, Drama","Nicolai Cleve Broch, Lena Endre, Anne Marit Jacobsen, Ellen Dorrit Petersen","Continuation of 2000's The Emperor's New Groove, showcasing Kuzco's attempts to graduate from his kingdom's school, and his former advisor Yzma's evil attempts to keep him from his goal.","Title: Frikjent Year: 2015–  Genre: Crime, Drama Cast: Nicolai Cleve Broch, Lena Endre, Anne Marit Jacobsen, Ellen Dorrit Petersen. Story: Continuation of 2000's The Emperor's New Groove, showcasing Kuzco's attempts to graduate from his kingdom's school, and his former advisor Yzma's evil attempts to keep him from his goal."
2714,Fallet,2017– ,6.8,"Comedy, Crime","Adam Godley, Lisa Henni, Lia Boysen, Christoffer Nordenrot","3 cute, humorous women are taken out of prison to work for the government as spies - a crime fighting unit.","Title: Fallet Year: 2017–  Genre: Comedy, Crime Cast: Adam Godley, Lisa Henni, Lia Boysen, Christoffer Nordenrot. Story: 3 cute, humorous women are taken out of prison to work for the government as spies - a crime fighting unit."
2715,Aynen Aynen,2019– ,7.6,"Short, Comedy","Nilperi Sahinkaya, Kerem Bürsin, Uraz Kaygilaroglu, Diyar Karatas",Jann Arden stars as a fictionalized version herself on a quest for renewed fame.,"Title: Aynen Aynen Year: 2019–  Genre: Short, Comedy Cast: Nilperi Sahinkaya, Kerem Bürsin, Uraz Kaygilaroglu, Diyar Karatas. Story: Jann Arden stars as a fictionalized version herself on a quest for renewed fame."
